Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Carl Overbeck,Rudy Quan,13.48,13.59,"6-7(7), 6-3, 6-4"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Emon Van Loben Sels,Theodore Dean,13.59,13.37,"6-4, 6-3"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Alexander Hoogmartens,Derrick Chen,13.0,13.0,"6-3, 6-1"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Bernardo Munk Mesa,Gianluca Ballotta,12.52,12.0,"7-6(5), 6-4"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Timofey Stepanov,Giacomo Revelli,13.02,12.0,"6-4, 6-4"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Spencer Johnson,Alexander Chang,13.43,13.0,"7-6(1), 6-7(7), 2-2"
"ATP Challenger Cleveland, USA",2025-01-30,Stefan Kozlov,Kaylan Bigun,14.37,13.24,"6-2, 6-3"
"ATP Challenger Cleveland, USA",2025-01-28,Kaylan Bigun,Radu Albot,13.24,13.76,"6-3, 7-6(7)"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Rudy Quan,Ryan Colby,13.59,13.3,"6-2, 6-3"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Alexander Hoogmartens,Oscar Pinto Sansano,13.0,13.0,"6-1, 7-5"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Miguel Perez Pena,Kaylan Bigun,13.0,13.24,"7-5, 6-4"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Spencer Johnson,Thomas Paulsell,13.43,13.0,"6-2, 7-6(3)"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Aadarsh Tripathi,Gabriele Vulpitta,12.91,12.61,"6-1, 6-3"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Emon Van Loben Sels,Niels RATIU,13.59,12.81,"6-3, 4-6"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Luke Casper,Kaylan Bigun,12.96,13.24,"6-4, 6-3"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Theo PAPAMALAMIS,Spencer Johnson,13.66,13.43,"6-3, 6-1"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Alexander Hoogmartens,Togan Tokac,13.0,13.0,"6-4, 6-3"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Giulio Perego,Aadarsh Tripathi,12.67,12.91,"6-2, 6-2"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Emon Van Loben Sels,Tiago PIRES,13.59,13.14,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Jerry Roddick,Rudy Quan,13.0,13.59,"6-3, 2-6, 6-3"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Aadarsh Tripathi,Neo Niedner,12.91,12.78,"6-3, 6-1"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Oliver Tarvet,Spencer Johnson,14.0,13.43,"7-6(2), 6-4"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Adrien Berrut,Alexander Hoogmartens,12.66,13.0,"7-5, 6-4"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Savriyan Danilov,Kaylan Bigun,13.4,13.24,"6-3, 5-7, 2-0"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Stian Klaassen,Emon Van Loben Sels,13.16,13.59,"6-4, 5-7, 6-4"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Rudy Quan,Iiro Vasa,13.59,12.9,"6-3, 7-6(5)"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Aadarsh Tripathi,Huang RUINING,12.91,12.0,"6-4, 7-6(4)"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Hiroki Sakagawa,Kaylan Bigun,12.62,13.24,"7-6(7), 5-2"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Rithvik Krishna,Emon Van Loben Sels,12.0,13.59,"6-7(7), 5-4"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Alexander Hoogmartens,Lawee Sherif,13.0,12.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Spencer Johnson,Noah Zamora,13.43,12.97,"6-3, 6-4"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Rudy Quan,Andy Nguyen,13.59,13.18,"6-4, 6-3"
